rng_seed,bootstrap_iter,code,classifier,clf,test_size,acc,f1,shuffled
383849492,0,coercive_control,Random Forest,RF,0.7,0.75,0.6265060240963856,N
383849492,0,coercive_control,Logistic Regression,LR,0.7,0.5965909090909091,0.3106796116504854,Y
383849492,0,coercive_control,Random Forest,RF,0.7,0.5965909090909091,0.16470588235294117,Y
383849492,0,coercive_control,Logistic Regression,LR,0.8,0.8009950248756219,0.5833333333333334,N
383849492,0,coercive_control,Random Forest,RF,0.8,0.8009950248756219,0.42105263157894735,N
383849492,0,coercive_control,Logistic Regression,LR,0.8,0.6169154228855721,0.15384615384615385,Y
383849492,0,coercive_control,Random Forest,RF,0.8,0.6169154228855721,0.11428571428571428,Y
383849492,0,coercive_control,Logistic Regression,LR,0.9,0.7256637168141593,0.4745762711864407,N
383849492,0,coercive_control,Random Forest,RF,0.9,0.7256637168141593,0.45161290322580644,N
383849492,0,coercive_control,Logistic Regression,LR,0.9,0.5707964601769911,0.291970802919708,Y
383849492,0,coercive_control,Random Forest,RF,0.9,0.5707964601769911,0.05,Y
384129188,0,existential_threat,Logistic Regression,LR,0.1,0.6923076923076923,0.3333333333333333,N
384129188,0,existential_threat,Random Forest,RF,0.1,0.6923076923076923,0.8888888888888888,N
384129188,0,existential_threat,Logistic Regression,LR,0.1,0.8076923076923077,0.0,Y
384129188,0,existential_threat,Random Forest,RF,0.1,0.8076923076923077,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.2,0.8627450980392157,0.5882352941176471,N
384129188,0,existential_threat,Random Forest,RF,0.2,0.8627450980392157,0.8235294117647058,N
384129188,0,existential_threat,Logistic Regression,LR,0.2,0.8235294117647058,0.0,Y
384129188,0,existential_threat,Random Forest,RF,0.2,0.8235294117647058,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.3,0.8947368421052632,0.7142857142857143,N
384129188,0,existential_threat,Random Forest,RF,0.3,0.8947368421052632,0.8148148148148148,N
384129188,0,existential_threat,Logistic Regression,LR,0.3,0.7894736842105263,0.0,Y
384129188,0,existential_threat,Random Forest,RF,0.3,0.7894736842105263,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.4,0.8712871287128713,0.5806451612903226,N
384129188,0,existential_threat,Random Forest,RF,0.4,0.8712871287128713,0.6,N
384129188,0,existential_threat,Logistic Regression,LR,0.4,0.8118811881188119,0.0,Y
384129188,0,existential_threat,Random Forest,RF,0.4,0.8118811881188119,0.0,Y
384129188,0,existential_threat,Logistic Regression,LR,0.5,0.8412698412698413,0.5,N
384129188,0,existential_threat,Random Forest,RF,0.5,0.8412698412698413,0.4,N
384129188,0,existential_threat,Logistic Regression,LR,0.5,0.753968253968254,0.11428571428571428,Y
